L1,L2,L3,L4,L5
Architecture,Architecture,Nature,Nature,Clothing
Architecture,Nature,Nature,Clothing,Adventure
Nature,Nature,Clothing,Adventure,Adventure
Nature,Clothing,Adventure,Adventure,Food
Clothing,Adventure,Adventure,Food,Food
Adventure,Adventure,Food,Food,Nature
Adventure,Food,Food,Nature,Architecture
Food,Food,Nature,Architecture,Adventure
Food,Nature,Architecture,Adventure,Adventure
Nature,Architecture,Adventure,Adventure,Nature
Architecture,Adventure,Adventure,Nature,Nature
Adventure,Adventure,Nature,Nature,Nature
Adventure,Nature,Nature,Nature,Food
Nature,Nature,Nature,Food,Architecture
Nature,Nature,Food,Architecture,Food
Nature,Food,Architecture,Food,Food
Food,Architecture,Food,Food,Architecture
Architecture,Food,Food,Architecture,Nature
Food,Food,Architecture,Nature,Architecture
Food,Architecture,Nature,Architecture,Nature
Architecture,Nature,Architecture,Nature,Food
Nature,Architecture,Nature,Food,Nature
Architecture,Nature,Food,Nature,Food
Nature,Food,Nature,Food,Nature
Food,Nature,Food,Nature,Nature
Nature,Food,Nature,Nature,Architecture
Food,Nature,Nature,Architecture,Architecture
Nature,Nature,Architecture,Architecture,Architecture
Nature,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Nature
Architecture,Architecture,Architecture,Nature,Nature
Architecture,Architecture,Nature,Nature,Clothing
Architecture,Nature,Nature,Clothing,Adventure
Nature,Nature,Clothing,Adventure,Adventure
Nature,Clothing,Adventure,Adventure,Food
Clothing,Adventure,Adventure,Food,Food
Adventure,Adventure,Food,Food,Nature
Adventure,Food,Food,Nature,Architecture
Food,Food,Nature,Architecture,Adventure
Food,Nature,Architecture,Adventure,Adventure
Nature,Architecture,Adventure,Adventure,Nature
Architecture,Adventure,Adventure,Nature,Nature
Adventure,Adventure,Nature,Nature,Nature
Adventure,Nature,Nature,Nature,Food
Nature,Nature,Nature,Food,Architecture
Nature,Nature,Food,Architecture,Food
Nature,Food,Architecture,Food,Food
Food,Architecture,Food,Food,Architecture
Architecture,Food,Food,Architecture,Nature
Food,Food,Architecture,Nature,Architecture
Food,Architecture,Nature,Architecture,Nature
Architecture,Nature,Architecture,Nature,Food
Nature,Architecture,Nature,Food,Nature
Architecture,Nature,Food,Nature,Food
Nature,Food,Nature,Food,Nature
Food,Nature,Food,Nature,Nature
Nature,Food,Nature,Nature,Architecture
Food,Nature,Nature,Architecture,Architecture
Nature,Nature,Architecture,Architecture,Architecture
Nature,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Nature
Architecture,Architecture,Architecture,Nature,Nature
Architecture,Architecture,Nature,Nature,Clothing
Architecture,Nature,Nature,Clothing,Adventure
Nature,Nature,Clothing,Adventure,Adventure
Nature,Clothing,Adventure,Adventure,Food
Clothing,Adventure,Adventure,Food,Food
Adventure,Adventure,Food,Food,Nature
Adventure,Food,Food,Nature,Architecture
Food,Food,Nature,Architecture,Adventure
Food,Nature,Architecture,Adventure,Adventure
Nature,Architecture,Adventure,Adventure,Nature
Architecture,Adventure,Adventure,Nature,Nature
Adventure,Adventure,Nature,Nature,Nature
Adventure,Nature,Nature,Nature,Food
Nature,Nature,Nature,Food,Architecture
Nature,Nature,Food,Architecture,Food
Nature,Food,Architecture,Food,Food
Food,Architecture,Food,Food,Architecture
Architecture,Food,Food,Architecture,Nature
Food,Food,Architecture,Nature,Architecture
Food,Architecture,Nature,Architecture,Nature
Architecture,Nature,Architecture,Nature,Food
Nature,Architecture,Nature,Food,Nature
Architecture,Nature,Food,Nature,Food
Nature,Food,Nature,Food,Nature
Food,Nature,Food,Nature,Nature
Nature,Food,Nature,Nature,Architecture
Food,Nature,Nature,Architecture,Architecture
Nature,Nature,Architecture,Architecture,Architecture
Nature,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
Architecture,Architecture,Architecture,Architecture,Architecture
