,L1,L2,L3,L4,L5
0,0.1,0.1,0.4,0.4,0.2
1,0.1,0.4,0.4,0.2,0
2,0.4,0.4,0.2,0,0
3,0.4,0.2,0,0,0.3
4,0.2,0,0,0.3,0.3
5,0,0,0.3,0.3,0.4
6,0,0.3,0.3,0.4,0.1
7,0.3,0.3,0.4,0.1,0
8,0.3,0.4,0.1,0,0
9,0.4,0.1,0,0,0.4
10,0.1,0,0,0.4,0.4
11,0,0,0.4,0.4,0.4
12,0,0.4,0.4,0.4,0.3
13,0.4,0.4,0.4,0.3,0.1
14,0.4,0.4,0.3,0.1,0.3
15,0.4,0.3,0.1,0.3,0.3
16,0.3,0.1,0.3,0.3,0.1
17,0.1,0.3,0.3,0.1,0.4
18,0.3,0.3,0.1,0.4,0.1
19,0.3,0.1,0.4,0.1,0.4
20,0.1,0.4,0.1,0.4,0.3
21,0.4,0.1,0.4,0.3,0.4
22,0.1,0.4,0.3,0.4,0.3
23,0.4,0.3,0.4,0.3,0.4
24,0.3,0.4,0.3,0.4,0.4
25,0.4,0.3,0.4,0.4,0.1
26,0.3,0.4,0.4,0.1,0.1
27,0.4,0.4,0.1,0.1,0.1
28,0.4,0.1,0.1,0.1,0.1
29,0.1,0.1,0.1,0.1,0.1
30,0.1,0.1,0.1,0.1,0.1
31,0.1,0.1,0.1,0.1,0.1
32,0.1,0.1,0.1,0.1,0.1
33,0.1,0.1,0.1,0.1,0.1
34,0.1,0.1,0.1,0.1,0.1
35,0.1,0.1,0.1,0.1,0.1
36,0.1,0.1,0.1,0.1,0.4
37,0.1,0.1,0.1,0.4,0.4
38,0.1,0.1,0.4,0.4,0.2
39,0.1,0.4,0.4,0.2,0
40,0.4,0.4,0.2,0,0
41,0.4,0.2,0,0,0.3
42,0.2,0,0,0.3,0.3
43,0,0,0.3,0.3,0.4
44,0,0.3,0.3,0.4,0.1
45,0.3,0.3,0.4,0.1,0
46,0.3,0.4,0.1,0,0
47,0.4,0.1,0,0,0.4
48,0.1,0,0,0.4,0.4
49,0,0,0.4,0.4,0.4
50,0,0.4,0.4,0.4,0.3
51,0.4,0.4,0.4,0.3,0.1
52,0.4,0.4,0.3,0.1,0.3
53,0.4,0.3,0.1,0.3,0.3
54,0.3,0.1,0.3,0.3,0.1
55,0.1,0.3,0.3,0.1,0.4
56,0.3,0.3,0.1,0.4,0.1
57,0.3,0.1,0.4,0.1,0.4
58,0.1,0.4,0.1,0.4,0.3
59,0.4,0.1,0.4,0.3,0.4
60,0.1,0.4,0.3,0.4,0.3
61,0.4,0.3,0.4,0.3,0.4
62,0.3,0.4,0.3,0.4,0.4
63,0.4,0.3,0.4,0.4,0.1
64,0.3,0.4,0.4,0.1,0.1
65,0.4,0.4,0.1,0.1,0.1
66,0.4,0.1,0.1,0.1,0.1
67,0.1,0.1,0.1,0.1,0.1
68,0.1,0.1,0.1,0.1,0.1
69,0.1,0.1,0.1,0.1,0.1
70,0.1,0.1,0.1,0.1,0.1
71,0.1,0.1,0.1,0.1,0.1
72,0.1,0.1,0.1,0.1,0.1
73,0.1,0.1,0.1,0.1,0.1
74,0.1,0.1,0.1,0.1,0.4
75,0.1,0.1,0.1,0.4,0.4
76,0.1,0.1,0.4,0.4,0.2
77,0.1,0.4,0.4,0.2,0
78,0.4,0.4,0.2,0,0
79,0.4,0.2,0,0,0.3
80,0.2,0,0,0.3,0.3
81,0,0,0.3,0.3,0.4
82,0,0.3,0.3,0.4,0.1
83,0.3,0.3,0.4,0.1,0
84,0.3,0.4,0.1,0,0
85,0.4,0.1,0,0,0.4
86,0.1,0,0,0.4,0.4
87,0,0,0.4,0.4,0.4
88,0,0.4,0.4,0.4,0.3
89,0.4,0.4,0.4,0.3,0.1
90,0.4,0.4,0.3,0.1,0.3
91,0.4,0.3,0.1,0.3,0.3
92,0.3,0.1,0.3,0.3,0.1
93,0.1,0.3,0.3,0.1,0.4
94,0.3,0.3,0.1,0.4,0.1
95,0.3,0.1,0.4,0.1,0.4
96,0.1,0.4,0.1,0.4,0.3
97,0.4,0.1,0.4,0.3,0.4
98,0.1,0.4,0.3,0.4,0.3
99,0.4,0.3,0.4,0.3,0.4
100,0.3,0.4,0.3,0.4,0.4
101,0.4,0.3,0.4,0.4,0.1
102,0.3,0.4,0.4,0.1,0.1
103,0.4,0.4,0.1,0.1,0.1
104,0.4,0.1,0.1,0.1,0.1
105,0.1,0.1,0.1,0.1,0.1
106,0.1,0.1,0.1,0.1,0.1
107,0.1,0.1,0.1,0.1,0.1
108,0.1,0.1,0.1,0.1,0.1
109,0.1,0.1,0.1,0.1,0.1
110,0.1,0.1,0.1,0.1,0.1
111,0.1,0.1,0.1,0.1,0.1
112,0.1,0.1,0.1,0.1,0.1
113,0.1,0.1,0.1,0.1,0.1
